#{"t_start": 1565909470.099146, "env_id": null}
r,l,t
211.920328,1000,22.494665
215.264456,1000,22.494668
235.011792,1000,22.494726
304.051445,1000,22.494825
186.344431,1000,36.613702
156.453886,1000,36.61471
102.210635,1000,36.616453
219.293723,1000,36.617838
235.219243,1000,51.119146
199.928833,1000,51.119709
170.136551,1000,51.119732
174.853074,1000,51.121553
299.851674,1000,65.62501
282.880522,1000,65.625675
236.718908,1000,65.627496
235.608089,1000,65.628052
223.266712,1000,80.36024
208.365509,1000,80.363221
101.915346,1000,80.363221
258.08207,1000,80.370448
195.450147,1000,94.47811
205.769097,1000,94.479261
300.742251,1000,94.480306
247.294659,1000,94.48741
273.000431,1000,109.024962
233.545053,1000,109.027462
264.643785,1000,109.027496
211.338615,1000,109.031372
270.674545,1000,123.198117
250.870079,1000,123.200853
227.748823,1000,123.200937
250.025349,1000,123.206725
104.499226,1000,137.417976
205.604096,1000,137.419325
196.571663,1000,137.420292
159.317762,1000,137.421528
342.388002,1000,151.870782
187.617643,1000,151.871558
163.450805,1000,151.871753
259.977229,1000,151.873032
137.037886,1000,166.221614
180.791093,1000,166.221922
198.291799,1000,166.222588
262.847944,1000,166.225041
244.442199,1000,180.587896
189.540121,1000,180.589821
247.018391,1000,180.591871
201.898054,1000,180.597494
334.459677,1000,195.189002
363.745748,1000,195.189629
408.840734,1000,195.190785
305.825893,1000,195.192169
320.547497,1000,209.909756
306.334214,1000,209.911163
329.171105,1000,209.912619
282.573238,1000,209.912678
276.349714,1000,224.624181
211.034445,1000,224.624484
254.192337,1000,224.624625
332.416091,1000,224.625555
120.517678,1000,238.787937
237.911412,1000,238.788434
290.570197,1000,238.788986
315.336899,1000,238.789847
238.506674,1000,253.308277
186.821203,1000,253.309004
312.524923,1000,253.309202
275.513156,1000,253.309984
167.30199,1000,268.001719
119.554057,1000,268.001991
261.312114,1000,268.002166
288.501524,1000,268.002475
167.814041,1000,282.9169
163.029637,1000,282.917972
256.020906,1000,282.918308
289.926329,1000,282.92265
238.839563,1000,297.776582
306.003767,1000,297.777192
168.00015,1000,297.777286
255.98948,1000,297.779337
267.549952,1000,312.52965
153.44802,1000,312.529713
296.056433,1000,312.530386
202.903866,1000,312.533069
492.01601,1000,327.109699
233.586047,1000,327.109871
413.864249,1000,327.111134
412.03239,1000,327.112085
71.091367,1000,342.05742
167.134047,1000,342.058585
351.612289,1000,342.059275
352.486016,1000,342.064588
194.022949,1000,356.940208
334.359007,1000,356.941017
292.300884,1000,356.942262
357.252718,1000,356.945072
312.974141,1000,371.663628
274.190065,1000,371.6651
451.039195,1000,371.666624
321.159605,1000,371.668256
40.251241,1000,386.28616
126.560714,1000,386.288435
57.785485,1000,386.288631
68.405987,1000,386.290714
253.380068,1000,400.369979
33.561847,1000,400.370067
63.387127,1000,400.370199
71.580483,1000,400.371629
44.761281,1000,415.076611
168.257818,1000,415.07729
45.46828,1000,415.078889
391.483013,1000,415.082671
323.797849,1000,430.126029
293.807687,1000,430.126842
296.870784,1000,430.129087
142.15081,1000,430.131249
221.873026,1000,444.69507
354.404568,1000,444.695569
305.72584,1000,444.697412
293.655757,1000,444.699075
331.418475,1000,459.547746
379.014036,1000,459.548488
435.793867,1000,459.548619
370.386333,1000,459.551232
438.874043,1000,473.369661
373.504196,1000,473.369882
380.008573,1000,473.373098
312.282327,1000,473.373547
407.734444,1000,487.603828
428.289506,1000,487.603935
297.604199,1000,487.604028
334.062868,1000,487.604668
323.538578,1000,502.105456
393.944806,1000,502.106126
298.520132,1000,502.106886
296.376451,1000,502.109703
358.781122,1000,516.862427
340.698296,1000,516.864937
227.210583,1000,516.865469
319.625247,1000,516.870345
299.598806,1000,531.114036
332.840832,1000,531.116056
248.741753,1000,531.117795
276.683339,1000,531.120484
327.53396,1000,546.280547
378.541877,1000,546.281681
365.542087,1000,546.282507
355.162809,1000,546.283427
318.313877,1000,560.795247
241.410905,1000,560.798303
312.818257,1000,560.79831
353.402615,1000,560.798427
94.12922,1000,575.539033
399.943945,1000,575.53915
330.326081,1000,575.541066
421.149997,1000,575.541862
329.048943,1000,590.254558
372.934237,1000,590.257041
360.938475,1000,590.258036
322.151295,1000,590.258573
322.006953,1000,605.018549
429.914551,1000,605.021272
382.980283,1000,605.021762
398.162533,1000,605.021881
339.591637,1000,619.612516
288.885976,1000,619.613947
331.956998,1000,619.614396
370.811639,1000,619.616212
154.52527,1000,633.727389
181.878014,1000,633.729717
282.479084,1000,633.729717
197.984947,1000,633.732566
194.526194,1000,647.785885
321.75768,1000,647.785962
199.276652,1000,647.787327
358.648482,1000,647.787658
382.491054,1000,662.125954
423.282079,1000,662.126362
370.425887,1000,662.128028
356.625846,1000,662.129426
333.196476,1000,676.377576
254.647225,1000,676.377972
380.509262,1000,676.378192
321.449108,1000,676.380826
172.909399,1000,690.749426
167.802459,1000,690.749643
231.365986,1000,690.749725
92.350633,1000,690.752447
270.35852,1000,704.82753
306.044131,1000,704.827747
358.671081,1000,704.828534
360.710437,1000,704.830672
314.493357,1000,719.603086
204.929809,1000,719.603612
388.597802,1000,719.605234
300.692531,1000,719.609517
325.934914,1000,734.579899
211.164142,1000,734.580884
180.69843,1000,734.581524
328.621599,1000,734.582262
13.12859,1000,749.362202
25.396106,1000,749.362227
314.46673,1000,749.362498
291.655949,1000,749.366306
301.680741,1000,764.242495
119.945988,1000,764.244704
208.023174,1000,764.245382
273.426486,1000,764.245657
226.12675,1000,778.686652
222.831978,1000,778.688555
281.394197,1000,778.688946
312.143359,1000,778.692245
217.589276,1000,792.900124
242.063878,1000,792.902256
184.122933,1000,792.902402
238.114432,1000,792.906957
372.764011,1000,807.801514
318.892823,1000,807.804039
366.877073,1000,807.805157
210.667482,1000,807.810782
166.220272,1000,822.711702
158.432371,1000,822.71171
333.829179,1000,822.711966
370.876775,1000,822.716362
86.079895,1000,837.242157
359.83853,1000,837.24255
365.960205,1000,837.242624
362.831368,1000,837.242624
282.619349,1000,852.031894
267.261022,1000,852.032291
296.658846,1000,852.032482
116.538153,1000,852.033376
277.227713,1000,866.106716
182.310113,1000,866.106948
112.050269,1000,866.107083
358.263556,1000,866.111781
348.026615,1000,880.597316
311.334781,1000,880.598787
304.305763,1000,880.598849
314.464188,1000,880.601024
233.280047,1000,895.80251
316.076372,1000,895.80269
137.098001,1000,895.803004
362.52813,1000,895.80304
379.77084,1000,910.320209
172.909776,1000,910.322247
211.831165,1000,910.322569
131.305393,1000,910.323536
289.005787,1000,925.775107
259.368239,1000,925.775582
214.887519,1000,925.775773
362.193079,1000,925.777895
395.907751,1000,940.306749
354.747283,1000,940.308292
263.523005,1000,940.30951
339.564482,1000,940.310221
320.083896,1000,955.158305
406.847965,1000,955.159436
357.915424,1000,955.159765
365.362545,1000,955.162922
357.014116,1000,970.131013
418.522247,1000,970.131353
359.990761,1000,970.132043
346.679375,1000,970.134337
432.999614,1000,985.148445
362.607633,1000,985.149233
388.921373,1000,985.14984
421.155514,1000,985.150507
323.976433,1000,1000.098667
375.321367,1000,1000.100134
365.609496,1000,1000.101647
76.192786,1000,1000.101954
448.65733,1000,1015.081778
401.11478,1000,1015.081903
390.254969,1000,1015.083281
392.118074,1000,1015.083434
258.072541,1000,1028.944048
292.584722,1000,1028.944119
320.478411,1000,1028.946796
371.240296,1000,1028.946796
380.492733,1000,1043.818487
336.66487,1000,1043.818791
300.68673,1000,1043.82194
340.362558,1000,1043.822697
432.409722,1000,1058.532853
406.610341,1000,1058.532875
343.926172,1000,1058.533647
433.574947,1000,1058.533917
284.144586,1000,1073.002275
318.392343,1000,1073.002413
334.983832,1000,1073.002443
289.864062,1000,1073.003732
156.895975,1000,1087.580759
242.893752,1000,1087.582352
265.271405,1000,1087.583665
178.989752,1000,1087.583968
426.33515,1000,1102.349055
362.245909,1000,1102.349727
356.808456,1000,1102.351697
413.625274,1000,1102.354875
417.207412,1000,1117.2798
443.189613,1000,1117.279999
405.012198,1000,1117.280766
456.537518,1000,1117.28156
264.908947,1000,1132.471497
348.234441,1000,1132.473166
339.893243,1000,1132.473459
298.588235,1000,1132.473686
364.353353,1000,1147.754261
415.220397,1000,1147.754876
334.311069,1000,1147.755688
373.252878,1000,1147.755944
324.008662,1000,1163.73208
349.724563,1000,1163.734096
316.15041,1000,1163.742209
291.66881,1000,1163.742288
70.804623,1000,1179.817575
362.474247,1000,1179.817976
318.567893,1000,1179.819479
355.322218,1000,1179.82029
235.315245,1000,1199.810786
270.740852,1000,1199.815801
382.741863,1000,1199.819025
235.959679,1000,1199.819214
407.290896,1000,1221.26714
356.868698,1000,1221.269269
229.040205,1000,1221.269774
200.925943,1000,1221.2758
447.098286,1000,1242.49055
337.459259,1000,1242.49372
392.326881,1000,1242.497633
340.885299,1000,1242.504991
222.746866,1000,1263.444398
449.101391,1000,1263.445419
417.871539,1000,1263.448498
471.501142,1000,1263.453244
308.395512,1000,1284.856074
356.548461,1000,1284.856862
358.080201,1000,1284.857849
324.816945,1000,1284.863972
153.737968,1000,1306.146688
354.600216,1000,1306.147145
436.553997,1000,1306.14988
392.776998,1000,1306.161453
457.68828,1000,1327.056902
406.989784,1000,1327.058802
469.580804,1000,1327.063563
463.477308,1000,1327.079201
337.85336,1000,1348.187915
470.034141,1000,1348.188609
374.516906,1000,1348.189342
507.336915,1000,1348.204074
359.045353,1000,1369.498363
169.591897,1000,1369.49936
453.758683,1000,1369.500059
440.651747,1000,1369.503681
533.811211,1000,1391.295362
483.588934,1000,1391.295822
442.69578,1000,1391.3071
465.703117,1000,1391.309724
298.828316,1000,1412.092379
324.342595,1000,1412.092416
316.725146,1000,1412.097485
389.522544,1000,1412.108409
356.103451,1000,1433.862826
450.995566,1000,1433.871568
400.480724,1000,1433.882828
494.085219,1000,1433.888402
64.891944,1000,1455.216044
351.511974,1000,1455.216285
408.436354,1000,1455.217517
444.033632,1000,1455.218178
331.543555,1000,1476.582239
504.331437,1000,1476.589673
567.31393,1000,1476.591919
379.324964,1000,1476.594757
330.0463,1000,1497.711375
428.255202,1000,1497.713387
402.305186,1000,1497.715839
477.872409,1000,1497.715955
494.897764,1000,1518.557992
460.750342,1000,1518.558864
427.689544,1000,1518.560322
386.400396,1000,1518.561097
447.981467,1000,1540.003996
429.027357,1000,1540.004936
221.372341,1000,1540.006819
522.393347,1000,1540.009444
478.216559,1000,1561.074109
441.354738,1000,1561.07438
493.325932,1000,1561.074446
378.415869,1000,1561.081158
162.28026,1000,1582.201225
164.497757,1000,1582.202208
279.918535,1000,1582.204406
250.52354,1000,1582.204953
76.484117,1000,1603.263808
33.841661,1000,1603.270551
65.835025,1000,1603.274153
214.227149,1000,1603.276527
364.165885,1000,1624.344553
419.59587,1000,1624.34812
531.55159,1000,1624.348274
368.747547,1000,1624.353103
406.749889,1000,1644.715866
163.685252,1000,1644.717826
355.885593,1000,1644.718603
433.603048,1000,1644.719835
270.935313,1000,1666.362771
487.011273,1000,1666.369767
394.230196,1000,1666.372441
564.487682,1000,1666.375705
397.891863,1000,1687.686731
438.544284,1000,1687.688359
505.697011,1000,1687.688918
451.4816,1000,1687.689462
403.621474,1000,1708.66514
471.078091,1000,1708.665238
366.920207,1000,1708.665398
413.028293,1000,1708.665456
339.8736,1000,1730.657279
362.935815,1000,1730.66152
174.484864,1000,1730.665661
397.31147,1000,1730.674731
433.444453,1000,1751.054057
150.035779,1000,1751.056616
250.270637,1000,1751.058515
451.766653,1000,1751.061544
414.47823,1000,1771.916898
353.688759,1000,1771.917207
388.281256,1000,1771.918919
344.932976,1000,1771.923347
484.72655,1000,1792.846236
473.727554,1000,1792.847434
528.143747,1000,1792.849453
483.666035,1000,1792.854925
447.730964,1000,1815.195575
444.054774,1000,1815.197088
384.122616,1000,1815.1974
371.572626,1000,1815.199657
416.735133,1000,1837.315139
307.646282,1000,1837.315594
449.341205,1000,1837.316072
507.91904,1000,1837.318703
160.493775,1000,1857.688389
206.432796,1000,1857.68857
428.315609,1000,1857.689359
82.808282,1000,1857.690804
183.165256,1000,1878.89789
78.851228,1000,1878.898052
100.640259,1000,1878.899346
99.353772,1000,1878.904097
358.370756,1000,1900.592552
330.294713,1000,1900.59336
460.524372,1000,1900.606513
404.476217,1000,1900.607034
449.926274,1000,1921.29606
463.482903,1000,1921.300159
473.132914,1000,1921.300391
465.36502,1000,1921.301617
465.583666,1000,1942.764881
442.29396,1000,1942.765152
376.214829,1000,1942.766129
320.551133,1000,1942.769353
505.271211,1000,1963.735321
512.0342,1000,1963.736286
507.377875,1000,1963.736981
607.561279,1000,1963.748102
521.807086,1000,1984.014405
543.345141,1000,1984.016619
494.125035,1000,1984.021925
410.139642,1000,1984.023841
541.741332,1000,2004.75456
582.429298,1000,2004.755681
493.251222,1000,2004.756694
609.146065,1000,2004.767707
406.224303,1000,2025.084714
472.818293,1000,2025.087655
426.121792,1000,2025.088342
337.520472,1000,2025.092725
567.281784,1000,2046.378411
506.829478,1000,2046.379579
515.063983,1000,2046.380006
568.733104,1000,2046.381771
511.904024,1000,2067.832514
521.474651,1000,2067.835186
504.10362,1000,2067.835689
568.832776,1000,2067.843843
580.768558,1000,2088.550895
500.153299,1000,2088.552849
484.577841,1000,2088.552849
396.846745,1000,2088.554342
460.387105,1000,2109.630912
483.262304,1000,2109.631288
519.845917,1000,2109.631568
458.489533,1000,2109.635475
533.081884,1000,2131.149077
557.426265,1000,2131.153429
478.348919,1000,2131.15631
475.967358,1000,2131.160701
439.389331,1000,2151.692972
407.295614,1000,2151.695023
472.795781,1000,2151.695045
507.598054,1000,2151.711044
538.071504,1000,2173.74051
522.627175,1000,2173.742973
493.365477,1000,2173.74297
646.049339,1000,2173.744243
354.646594,1000,2193.801833
377.512495,1000,2193.80867
443.10472,1000,2193.812953
408.173474,1000,2193.815594
510.040219,1000,2215.849759
590.48409,1000,2215.849939
559.438115,1000,2215.850734
526.197784,1000,2215.851312
488.134732,1000,2237.638351
774.810835,1000,2237.641602
588.640923,1000,2237.643284
534.138862,1000,2237.645915
573.773445,1000,2259.455598
594.783286,1000,2259.46003
472.077357,1000,2259.468514
545.324811,1000,2259.469862
554.356116,1000,2281.318375
676.34249,1000,2281.320135
574.520055,1000,2281.323513
559.888495,1000,2281.323704
562.452958,1000,2302.436063
494.926436,1000,2302.436198
578.385462,1000,2302.439502
539.905557,1000,2302.478877
486.165142,1000,2323.315909
482.931849,1000,2323.316613
524.92866,1000,2323.318473
546.084423,1000,2323.318473
555.400555,1000,2345.110657
553.834632,1000,2345.111426
558.73552,1000,2345.113777
404.063208,1000,2345.117933
157.780484,1000,2366.448591
481.48183,1000,2366.451246
465.88784,1000,2366.451758
646.800388,1000,2366.452626
396.117781,1000,2387.359066
482.059745,1000,2387.360164
326.418476,1000,2387.365435
78.257307,1000,2387.385271
525.865494,1000,2409.413567
539.421533,1000,2409.421386
610.981247,1000,2409.421957
561.32658,1000,2409.439742
500.629132,1000,2430.162466
406.638777,1000,2430.165439
444.094121,1000,2430.165491
439.38882,1000,2430.166113
551.673848,1000,2450.989185
562.18363,1000,2450.992437
527.374855,1000,2450.995611
605.071518,1000,2450.99682
551.380819,1000,2472.279606
676.76434,1000,2472.27982
565.396549,1000,2472.28209
676.35809,1000,2472.282739
532.698575,1000,2494.004606
552.974285,1000,2494.006589
723.1468,1000,2494.006859
504.85221,1000,2494.015343
451.644426,1000,2515.729511
553.192775,1000,2515.731202
585.219216,1000,2515.731689
494.27987,1000,2515.731808
617.824156,1000,2536.475995
624.379793,1000,2536.477005
541.343609,1000,2536.479029
538.660917,1000,2536.492101
505.741129,1000,2557.652919
568.153796,1000,2557.653391
562.271661,1000,2557.655891
664.113545,1000,2557.657304
536.510846,1000,2578.494188
513.727368,1000,2578.495588
537.843627,1000,2578.496869
483.051693,1000,2578.502558
485.821997,1000,2599.4145
519.310133,1000,2599.41815
467.178714,1000,2599.41821
506.158887,1000,2599.420535
639.115888,1000,2620.610387
638.529935,1000,2620.612218
491.765115,1000,2620.614494
659.897529,1000,2620.616088
608.461691,1000,2642.153045
496.387572,1000,2642.153823
682.293601,1000,2642.153898
615.920334,1000,2642.154907
566.887922,1000,2662.465883
563.248412,1000,2662.466053
582.152506,1000,2662.466147
583.136281,1000,2662.477628
667.952716,1000,2683.898731
642.462423,1000,2683.900006
410.498324,1000,2683.901078
517.048515,1000,2683.903717
524.645143,1000,2705.723088
569.43297,1000,2705.724432
544.513473,1000,2705.724799
541.627387,1000,2705.72501
696.406724,1000,2726.737441
656.217471,1000,2726.738186
645.337819,1000,2726.738342
620.300696,1000,2726.754344
442.638739,1000,2747.457027
632.26579,1000,2747.458116
526.3976,1000,2747.459107
621.879878,1000,2747.459421
485.715586,1000,2768.737177
614.795564,1000,2768.742113
626.206774,1000,2768.742341
577.674852,1000,2768.742815
592.86764,1000,2789.939081
604.01656,1000,2789.939705
496.922276,1000,2789.94733
812.37992,1000,2789.948809
453.840091,1000,2811.015096
408.987676,1000,2811.019203
501.452551,1000,2811.023286
522.179715,1000,2811.034371
573.519464,1000,2832.495242
514.773006,1000,2832.495536
584.814685,1000,2832.496728
529.408389,1000,2832.504729
575.443446,1000,2854.061728
589.259655,1000,2854.062861
605.173246,1000,2854.070595
607.145423,1000,2854.076612
576.967773,1000,2874.291367
623.378818,1000,2874.293241
625.52554,1000,2874.295567
560.418532,1000,2874.303532
592.997977,1000,2895.390561
612.871401,1000,2895.390584
591.824061,1000,2895.391926
579.462605,1000,2895.401468
530.278893,1000,2916.246332
611.234157,1000,2916.247414
535.074295,1000,2916.249072
506.874522,1000,2916.264771
624.170794,1000,2937.911113
577.519388,1000,2937.914857
440.931625,1000,2937.915544
565.266385,1000,2937.922147
607.278244,1000,2958.991436
662.110281,1000,2958.993763
500.289203,1000,2958.994873
609.734197,1000,2958.995188
713.119472,1000,2980.857789
740.29019,1000,2980.865527
716.842055,1000,2980.870528
603.091605,1000,2980.873279
586.723708,1000,3001.740817
631.363742,1000,3001.741397
658.671863,1000,3001.741722
653.733303,1000,3001.742447
548.044185,1000,3022.223905
541.469171,1000,3022.226623
484.786759,1000,3022.230749
552.265068,1000,3022.231312
498.468035,1000,3043.584388
522.19842,1000,3043.590656
511.436588,1000,3043.591369
500.560106,1000,3043.591882
541.25153,1000,3065.656886
797.653168,1000,3065.658035
535.348325,1000,3065.659254
508.497861,1000,3065.664251
596.233831,1000,3087.636833
562.700152,1000,3087.637511
516.606439,1000,3087.638189
596.534305,1000,3087.654237
382.270704,1000,3107.902151
474.102724,1000,3107.904883
398.968061,1000,3107.90584
356.836243,1000,3107.912175
425.230202,1000,3129.70905
436.510091,1000,3129.710396
481.380454,1000,3129.716185
492.236422,1000,3129.724569
63.005081,1000,3150.777482
151.284814,1000,3150.777685
159.137419,1000,3150.781391
331.211925,1000,3150.783875
46.18721,1000,3171.859401
47.573296,1000,3171.860627
86.054662,1000,3171.861374
63.39701,1000,3171.871452
3.495549,1000,3193.219136
14.611245,1000,3193.229721
9.812989,1000,3193.231071
10.584438,1000,3193.233806
11.083382,1000,3213.901765
57.608551,1000,3213.902673
61.717625,1000,3213.910961
58.632192,1000,3213.911901
333.057986,1000,3233.880797
314.354214,1000,3233.880981
347.021559,1000,3233.882759
376.753105,1000,3233.882976
435.436515,1000,3254.516104
525.142597,1000,3254.523717
504.364404,1000,3254.524306
364.044799,1000,3254.567087
496.923556,1000,3275.149115
500.531131,1000,3275.151856
478.445141,1000,3275.154449
513.576361,1000,3275.154739
482.914341,1000,3296.428958
530.063455,1000,3296.431601
440.255628,1000,3296.431613
694.959265,1000,3296.434614
661.225436,1000,3317.301928
636.561941,1000,3317.305091
577.700039,1000,3317.310355
642.476601,1000,3317.310371
418.556193,1000,3338.236257
464.276634,1000,3338.236286
474.79971,1000,3338.238914
452.9117,1000,3338.242896
474.483515,1000,3358.704259
511.23218,1000,3358.70446
443.064151,1000,3358.706949
387.192948,1000,3358.707127
646.874015,1000,3380.366296
649.750891,1000,3380.367289
618.627939,1000,3380.372182
611.595917,1000,3380.376592
694.683988,1000,3401.871516
641.483594,1000,3401.874582
791.533811,1000,3401.875502
696.03669,1000,3401.884593
